TransactionNo,Date,Product_Number,Product_Name,Price,Quantity,CustomerNo,Country,Currency
T536373,2018-12-01,84029,"Red woolly hottie white heart",13,6,17850,"United Kingdom",GBP
T536394,2018-12-01,22633,"Hand warmer union jack",12,10,13408,"United Kingdom",GBP
T536395,2018-11-30,84879,"Assorted colour bird ornament",11,NULL,13767,"United Kingdom",GBP
T536404,2018-12-01,85049,"Bright blues ribbons",11,12,16218,"United Kingdom",GBP
T536404,2018-12-01,21975,"Pack of 60 dinosaur cake cases",10,NULL,16218,"United Kingdom",GBP
T536408,2018-12-01,22619,"Set of 6 soldier skittles",14,4,14307,"United Kingdom",GBP
T536412,2018-12-01,22077,"6 ribbons rustic charm",11,2,17920,"United Kingdom",GBP
T536412,2018-12-01,22662,"Lunch bag dolly girl design",0,10,17920,"United Kingdom",GBP
T536415,2018-12-01,22149,"Feltcraft 6 flower friends",12,4,12838,"United Kingdom",GBP
T536464,2018-12-01,22297,"Heart ivory trellis small",11,1,17968,"United Kingdom",GBP
T536514,2018-12-01,22865,"Hand warmer owl design",12,10,17951,"United Kingdom",GBP
T536523,2018-12-01,22149,"Feltcraft 6 flower friends",12,6,12868,"United Kingdom",GBP
T536528,2018-12-01,22634,"Childs breakfast set spaceboy",20,1,15525,"United Kingdom",GBP
T536532,2018-11-30,22095,"Lads only tissue box",11,12,12433,Norway,NOK
T536544,2018-11-30,21884,"Cakes and bows gift tape",11,10,17544,"United Kingdom",GBP
T536544,2018-11-30,22111,"Scottie dog hot water bottle ",21,10,17544,"United Kingdom",GBP
T536544,2018-11-30,35957,"Smallfolkart bauble christmas dec",11,NULL,17544,"United Kingdom",GBP
T536544,2018-11-30,84536,"Fairy cakes notebook a7 size",11,3,17544,"United Kingdom",GBP
T536544,2018-12-01,21385,"Ivory hanging decoration heart",0,NULL,17544,"United Kingdom",GBP
T536557,2018-12-01,22553,"Plasters in tin skulls",11,10,17841,"United Kingdom",GBP
T536557,2018-12-01,22731,"3d christmas stamps stickers ",11,10,17841,"United Kingdom",GBP
T536586,2018-12-01,22728,"Alarm clock bakelike pink",0,8,18229,"United Kingdom",GBP
T536588,2018-12-01,22961,"Jam making set printed",11,10,17069,"United Kingdom",GBP
T536591,2018-12-01,21620,"Set of 4 rose botanical candles",0,1,14606,"United Kingdom",GBP
T536591,2018-12-01,20750,"Red retrospot mini cases",18,10,14606,"United Kingdom",GBP
T536592,2018-12-01,21015,"Dark bird house tree decoration",11,1,16592,"United Kingdom",GBP
T536592,2018-12-01,22310,"Ivory knitted mug cosy",13,NULL,16592,"United Kingdom",GBP
T536592,2018-12-01,22348,"Tea bag plate red retrospot",11,NULL,16592,"United Kingdom",GBP
T536592,2018-11-30,21851,"Lilac diamante pen in gift box",14,3,16592,"United Kingdom",GBP
T536592,2018-11-30,22245,"Hook 1 hanger magic garden",11,2,16592,"United Kingdom",GBP
T536592,2018-12-01,21915,"Red harmonica in box",0,NULL,16592,"United Kingdom",GBP
T536592,2018-12-01,22637,"Piggy bank retrospot",15,1,16592,"United Kingdom",GBP
T536604,2018-12-02,22863,"Soap dish brocante ",13,10,14741,"United Kingdom",GBP
T536604,2018-12-02,84970,"Hanging heart zinc tlight holder",11,NULL,14741,"United Kingdom",GBP
T536621,2018-12-02,22549,"Picture dominoes",0,24,13108,"United Kingdom",GBP
T536623,2018-12-02,84755,"Colour glass tlight holder hanging",10,32,15601,"United Kingdom",GBP
T536624,2018-12-02,22568,"Feltcraft cushion owl",14,NULL,13418,"United Kingdom",GBP
T536624,2018-12-02,21584,"Retrospot small tube matches",11,20,13418,"United Kingdom",GBP
T536639,2018-12-02,21042,"Red retrospot apron",16,3,15111,"United Kingdom",GBP
T536643,2018-12-02,84997,"Childrens cutlery retrospot red",0,10,14390,"United Kingdom",GBP
T536690,2018-12-02,84029,"Knitted union flag hot water bottle ",13,6,17850,"United Kingdom",GBP
T536741,2018-12-02,84763,"Zinc finish 15cm planter pots ",11,NULL,13117,"United Kingdom",GBP
T536742,2018-12-02,22450,"Silk purse babushka blue",13,1,16916,"United Kingdom",GBP
T536754,2018-12-02,22088,"Paper bunting coloured lace",13,2,14449,"United Kingdom",GBP
T536759,2018-12-02,79164,"Black wine glass ",0,12,16781,"United Kingdom",GBP
T536782,2018-12-02,22626,"Black kitchen scales",18,NULL,17567,"United Kingdom",GBP
T536786,2018-12-01,22617,"Baking set spaceboy design",14,48,15061,"United Kingdom",GBP
T536799,2018-12-01,22386,"Jumbo bag pink polkadot",6,10,17228,"United Kingdom",GBP
T536799,2018-12-02,70006,"Love heart pocket warmer",11,10,17228,"United Kingdom",GBP
T536804,2018-12-02,22798,"Antique glass dressing table pot",0,2,14031,"United Kingdom",GBP
T536846,2018-12-01,20914,"Set5 red retrospot lid glass bowls",13,3,14573,"United Kingdom",GBP
T536846,2018-12-02,20681,"Pink polkadot childrens umbrella ",13,2,14573,"United Kingdom",GBP
T536851,2018-12-03,22180,"Retrospot lamp",20,6,12967,"United Kingdom",GBP
T536859,2018-12-03,85123,"Cream hanging heart tlight holder",13,2,12841,"United Kingdom",GBP
T536862,2018-12-03,22627,"Mint kitchen scales",27,NULL,15862,"United Kingdom",GBP
T536865,2018-12-02,22383,"Lunch bag suki design",7,1,13865,"United Kingdom",GBP
T536865,2018-12-03,21109,"Large cake towel chocolate spots",24,1,13865,"United Kingdom",GBP
T536865,2018-12-03,22898,"Childrens apron apples design",14,1,13865,"United Kingdom",GBP
T536876,2018-12-03,22837,"Hot water bottle babushka",19,NULL,12876,Belgium,BEF
