 Transaction No ,date,Product Number,product_name ,Price($),Qty,Customer No, Country
537081,2018-12-05,22751,feltcraft princess olivia doll,$14.09,16.0,15332.0,Lithuania
562445,8/4/2019,23315,Ivory Refectory Clock???,20.45 EUR,2.0,12417.0,Belgium
540551,1/10/2019,21879,HEARTS GIFT TAPE,$10.69,10.0,14551.0,U.K.
568152,9/25/2019,22561,Wooden School Colouring Set##,$11.94,6.0,16480.0,United Kingdom
?,?,?,?,?,?,?,?
574561,1572825600000000000,16235,RECYCLED PENCIL WITH RABBIT ERASER,10.68,ten,12561.0,GB
580373,12/2/2019,22619,Set Of 6 Soldier Skittles ,6.19,N/A,14788.0,England
560209,7/15/2019,22627,Mint Kitchen Scales@@,18.96,N/A,15004.0,Gr8 Britain
,,,,,,,
566024,9/8/2019,23243,Set Of Tea Coffee Sugar Tins Pantry##,15.32,4.0,13871.0,UK
555401,1559433600000000000,23200,Jumbo Bag Pears✨,$6.19,40.0,14088.0,Gr8 Britain
544102,16-Feb-2019,22188,Black Heart Card Holder!!,£14.3,12.0,14665.0,England
581498,"December 09, 2019",84509A,Set Of 4 English Rose Placemats???,6.19,1.0,14498.0,UK
537638,07-Dec-2018,22027,Tea Party Birthday Card##,$11.12,N/A,15638.0,England
579187,"November 28, 2019",23436,vintage christmas gift bag large,7.24,N/A,13187.0,United Kingdom
559341,7/7/2019,23200,Jumbo Bag Pears✨,6.19,ten,15144.0,united kingdom
559554,11-Jul-2019,23243,Set Of Tea Coffee Sugar Tins Pantry!!,free,48.0,14258.0,UK
536920,1543795200000000000,85049G,Chocolate Box Ribbons@@,11.53,1.0,12920.0,UK
554283,1558569600000000000,22722,Set Of 6 Spice Tins Pantry Design##,14.3,8.0,17686.0,united kingdom
578057,1574380800000000000,21368,Mirrored Wall Art Ladies✨,11.02,ten,12920.0,Gr8 Britain
574840,2019-11-07,23349,Roll Wrap Vintage Christmas@@,11.53,ten,12748.0,GB
563181,"August 12, 2019",22111,Scottie Dog Hot Water Bottle???,15.32,4.0,16612.0,Gr8 Britain
564516,1566691200000000000,84970L,Single Heart Zinc T-Light Holder@@,12.38,N/A,13516.0,UK
,,,,,,,
567092,2019-09-16,85049A,Traditional Christmas Ribbons ,11.53,12.0,13196.0,U.K.
559317,"July 07, 2019",20837,FRENCH FLORAL CUSHION COVER,11.12,N/A,17611.0,Gr8 Britain
571931,"October 19, 2019",22597,musical zinc heart decoration,11.1,N/A,12931.0,U.K.
557222,1560729600000000000,22384,Lunch Bag Pink Polkadot✨,5.97 EUR,ten,14936.0,Channel Islands
581419,1575763200000000000,23349,roll wrap vintage christmas,6.19 EUR,ten,15484.0,GB
,,,,,,,
563920,2019-08-21,23034,drawer knob ceramic black,£11.74,12.0,16407.0,GB
563231,"August 14, 2019",22176,Blue Owl Soft Toy!!,13.27 EUR,1.0,14658.0,U.K.
555924,1559865600000000000,23168,Classic Cafe Sugar Dispenser@@,12.77,ten,12924.0,united kingdom
,,,,,,,
537434,"December 06, 2018",22456,Natural Slate Chalkboard Large##,20.67 EUR,1.0,17434.0,England
561383,2019-07-27,22621,Traditional Knitting Nancy???,free,12.0,13730.0,Gr8 Britain
